,model,pca,f1_score,precision,recall,tp,fp,fn,tn,time
0,nb,pca_false,0.8464163822525598,0.8378378378378378,0.8551724137931035,769,24,21,124,0.01598879909515381
0,nb,pca_true,0.5150214592274678,0.6818181818181818,0.41379310344827586,765,28,85,60,0.010425837039947511
0,svc,pca_false,0.8865248226950354,0.9124087591240876,0.8620689655172413,781,12,20,125,2.544365174770355
0,svc,pca_true,0.5959183673469388,0.73,0.503448275862069,766,27,72,73,5.376317009925843
0,dt,pca_false,0.9790209790209791,0.9929078014184397,0.9655172413793104,792,1,5,140,0.029724545045332475
0,dt,pca_true,0.47580645161290325,0.5728155339805825,0.4068965517241379,749,44,86,59,0.0346179030158303
0,rf,pca_false,0.9754385964912282,0.9928571428571429,0.9586206896551724,792,1,6,139,3.770952223369053
0,rf,pca_true,0.5617021276595744,0.7333333333333333,0.45517241379310347,769,24,79,66,5.434035829816546
0,nb,pca_false,0.8464163822525598,0.8378378378378378,0.8551724137931035,769,24,21,124,0.014751596450805662
0,nb,pca_true,0.5150214592274678,0.6818181818181818,0.41379310344827586,765,28,85,60,0.010057997703552247
